,Name,Postcode,Rating,Rating_Date,Council
0,Marios Pizza,E14 7PG,5,2018-06-11 00:00:00.000000,Tower Hamlets
1,The Bhaji,E14 3AS,4,2018-03-20 00:00:00.000000,Tower Hamlets
2,Al-Safa Grill,E1 5HR,5,2019-01-22 00:00:00.000000,Tower Hamlets
3,Bathak,E14 7DL,3,2019-03-19 00:00:00.000000,Tower Hamlets
4,Limehouse Kebab,E14 6JJ,4,2019-03-14 00:00:00.000000,Tower Hamlets
5,Top Hat Pizza,E14 0EG,3,2019-02-11 00:00:00.000000,Tower Hamlets
6,Thai Pie Stratford,E15 1NS,5,2018-10-31 00:00:00.000000,Newham
7,Noodle Street,E14 8HP,5,2017-08-21 00:00:00.000000,Tower Hamlets
8,The Little Kebab House,E14 8RQ,2,2018-07-05 00:00:00.000000,Tower Hamlets
9,Bengal Quay,E14 9XL,4,2018-07-30 00:00:00.000000,Tower Hamlets
10,Indian Kitchen,E14 7EB,5,2017-05-24 00:00:00.000000,Tower Hamlets
11,Yuhoki,E14 9FF,5,2018-03-08 00:00:00.000000,Tower Hamlets
12,The Tale of India,E14 8HN,5,2018-06-25 00:00:00.000000,Tower Hamlets
13,Yokoso Restaurant,E14 3TU,4,2017-10-05 00:00:00.000000,Tower Hamlets
14,Poplar Spice,E14 0ED,3,2019-02-04 00:00:00.000000,Tower Hamlets
15,Noodle Street,E14 8HP,5,2017-08-21 00:00:00.000000,Tower Hamlets
16,The Little Kebab House,E14 8RQ,2,2018-07-05 00:00:00.000000,Tower Hamlets
17,Bengal Quay,E14 9XL,4,2018-07-30 00:00:00.000000,Tower Hamlets
18,Indian Kitchen,E14 7EB,5,2017-05-24 00:00:00.000000,Tower Hamlets
19,Yuhoki,E14 9FF,5,2018-03-08 00:00:00.000000,Tower Hamlets
20,The Tale of India,E14 8HN,5,2018-06-25 00:00:00.000000,Tower Hamlets
21,Yokoso Restaurant,E14 3TU,4,2017-10-05 00:00:00.000000,Tower Hamlets
22,Poplar Spice,E14 0ED,3,2019-02-04 00:00:00.000000,Tower Hamlets
23,Sapore Italiano,E14 7PQ,4,2017-07-20 00:00:00.000000,Tower Hamlets
24,Kenko Sushi,E14 0ED,5,2018-02-12 00:00:00.000000,Tower Hamlets
25,Noodle Street,E14 8HP,5,2017-08-21 00:00:00.000000,Tower Hamlets
26,The Little Kebab House,E14 8RQ,2,2018-07-05 00:00:00.000000,Tower Hamlets
27,Bengal Quay,E14 9XL,4,2018-07-30 00:00:00.000000,Tower Hamlets
28,Indian Kitchen,E14 7EB,5,2017-05-24 00:00:00.000000,Tower Hamlets
29,Yuhoki,E14 9FF,5,2018-03-08 00:00:00.000000,Tower Hamlets
30,The Tale of India,E14 8HN,5,2018-06-25 00:00:00.000000,Tower Hamlets
31,Yokoso Restaurant,E14 3TU,4,2017-10-05 00:00:00.000000,Tower Hamlets
32,Poplar Spice,E14 0ED,3,2019-02-04 00:00:00.000000,Tower Hamlets
33,Sapore Italiano,E14 7PQ,4,2017-07-20 00:00:00.000000,Tower Hamlets
34,Kenko Sushi,E14 0ED,5,2018-02-12 00:00:00.000000,Tower Hamlets
35,Popo,E14 6HP,-1,2019-05-06 20:12:26.394028,
36,Tops Pizza,E14 8EZ,1,2018-01-11 00:00:00.000000,Tower Hamlets
37,Lime Bar and Restaurant,E14 8JZ,4,2018-11-10 00:00:00.000000,Tower Hamlets
38,Ravaa,E14 8HP,5,2018-10-30 00:00:00.000000,Tower Hamlets
39,Grill & Shakes,E14 0EG,5,2019-01-10 00:00:00.000000,Tower Hamlets
40,Indiana,E14 7PG,5,2019-03-26 00:00:00.000000,Tower Hamlets
41,Pasha's Peri Peri,E14 7NT,3,2018-10-08 00:00:00.000000,Tower Hamlets
42,Wings,E1 6RF,3,2019-02-21 00:00:00.000000,Tower Hamlets
43,Fortune Cat,E3 2DW,1,2018-04-24 00:00:00.000000,Tower Hamlets
44,Indian Butler,E1 1SA,5,2019-02-05 00:00:00.000000,Tower Hamlets
45,TGF Pizza,E6 2JT,4,2018-10-02 00:00:00.000000,Newham
46,The Pizza Next Door,E14 7PQ,5,2019-03-11 00:00:00.000000,Tower Hamlets
47,Max's,E13 8HR,3,2019-02-21 00:00:00.000000,Newham
48,Mogul's Kitchen,E3 2RN,3,2018-05-01 00:00:00.000000,Tower Hamlets
49,King's Chinese Takeaway,E16 2LH,2,2017-11-24 00:00:00.000000,Newham
50,Pizzano Pizza,E13 8EB,2,2017-12-18 00:00:00.000000,Newham
51,Ranna,E3 4UR,4,2018-03-14 00:00:00.000000,Tower Hamlets
52,Ruby House,E2 0AA,5,2019-04-03 00:00:00.000000,Tower Hamlets
53,The Hungry Buddha,E1 1SA,5,2019-02-05 00:00:00.000000,Tower Hamlets
54,Pepe's Piri Piri,E1 6RL,5,2018-01-10 00:00:00.000000,Tower Hamlets
55,Caroline's Pizza,E3 4TN,1,2019-01-22 00:00:00.000000,Tower Hamlets
56,Pizza Klub,E13 9DB,4,2017-11-08 00:00:00.000000,Newham
57,Little Italy Wood Fired Oven Pizza,E13 8HR,3,2018-10-23 00:00:00.000000,Newham
58,Canaan Chinese,E16 4LF,5,2017-09-12 00:00:00.000000,Newham
59,Franjo's,E16 4HQ,5,2019-02-28 00:00:00.000000,Newham
60,Favorite Chicken,E2 6AH,5,2019-01-24 00:00:00.000000,Tower Hamlets
61,Tyson's Kitchen,E3 2RW,4,2019-01-22 00:00:00.000000,Tower Hamlets
62,Yummy Pizza,E3 4TN,5,2019-03-15 00:00:00.000000,Tower Hamlets
63,East Ocean,E13 8SD,5,2016-10-12 00:00:00.000000,Newham
64,Mi Sushi,E1 1SA,5,2019-02-05 00:00:00.000000,Tower Hamlets
65,Curry King,E16 1QB,4,2019-02-01 00:00:00.000000,Newham
66,China Palace,E16 1DR,2,2018-11-02 00:00:00.000000,Newham
67,Love Choco,E16,4,2018-01-26 00:00:00.000000,Newham
68,Charcoal Restaurant,E13 8SD,5,2017-11-09 00:00:00.000000,Newham
69,Modern Wing Chi Chef,E3 3LR,3,2019-03-29 00:00:00.000000,Tower Hamlets
70,Grillin Xpress Pizza,E7 8JQ,2,2018-09-05 00:00:00.000000,Newham
71,Minh Restaurant,E13 8HJ,5,2019-03-01 00:00:00.000000,Newham
72,Prince Grill,E13 8QQ,3,2019-02-12 00:00:00.000000,Newham
73,Hung Tou,E1 0HY,3,2019-03-11 00:00:00.000000,Tower Hamlets
74,Kitchen Madras,E1 4UN,5,2018-03-15 00:00:00.000000,Tower Hamlets
75,Airline Cafe,E16 1FD,3,2018-01-25 00:00:00.000000,Newham
76,Zero Sette,E16 1DR,5,2018-01-23 00:00:00.000000,Newham
77,Perfect Fried Chicken,E14 0EG,5,2019-01-10 00:00:00.000000,Tower Hamlets
78,Bollywood Grill,E16 1DR,5,2016-06-09 00:00:00.000000,Newham
79,Chilli Garlic,E3 5LX,2,2017-12-05 00:00:00.000000,Tower Hamlets
80,Papillon Pizza,E15 1EN,3,2018-05-24 00:00:00.000000,Newham
81,Star Grill & Shawarma,E15 4PT,4,2019-02-04 00:00:00.000000,Newham
82,Roman Tandoori,E3 5LU,4,2018-05-23 00:00:00.000000,Tower Hamlets
83,Capeesh,E14 9HN,4,2018-08-13 00:00:00.000000,Tower Hamlets
84,Tapaunow,E14 9TS,4,2019-01-10 00:00:00.000000,Tower Hamlets
85,Perfect Pizza,E13 8EQ,3,2018-07-30 00:00:00.000000,Newham
86,New Taz Ltd,E13 8EB,2,2019-03-25 00:00:00.000000,Newham
87,Basilico,E14 7LW,5,2018-08-02 00:00:00.000000,Tower Hamlets
88,Tower Spice,E3 2LU,5,2019-04-24 00:00:00.000000,Tower Hamlets
89,Andy's Buffet Restaurant,E16 4HB,2,2017-12-07 00:00:00.000000,Newham
90,Byblos Harbour,E14 9NA,5,2018-06-13 00:00:00.000000,Tower Hamlets
91,La Casita Mexican,E1 6RL,4,2019-01-10 00:00:00.000000,Tower Hamlets
92,Thaisty,E1 6RL,2,2019-01-10 00:00:00.000000,Tower Hamlets
93,Shinde's Pure Veg,E7 8LF,4,2018-01-18 00:00:00.000000,Newham
94,Dosa World,E1 5JL,5,2019-01-10 00:00:00.000000,Tower Hamlets
95,Elsha Delight,E7 9PJ,3,2018-10-30 00:00:00.000000,Newham
96,Chicken & Grill,E15 4HG,1,2018-07-17 00:00:00.000000,Newham
97,Silver Grill & Pizza,E16 2DW,3,2019-02-06 00:00:00.000000,Newham
98,Grill Bite,E15 3EU,1,2018-12-11 00:00:00.000000,Newham
99,PFC,E1 2NP,5,2017-06-14 00:00:00.000000,Tower Hamlets
100,Ariana Restaurant,E3 4SE,2,2019-01-30 00:00:00.000000,Tower Hamlets
101,Pizza Bite,E13 0QZ,4,2017-05-11 00:00:00.000000,Newham
102,Grill,E1 5HR,5,2019-01-22 00:00:00.000000,Tower Hamlets
103,Tasty Bites,E3 5EL,5,2018-02-28 00:00:00.000000,Tower Hamlets
104,Mumbai Dera,E7 9,4,2019-03-26 00:00:00.000000,Newham
105,Kitchen Vindaloo,E1 4UN,5,2019-03-22 00:00:00.000000,Tower Hamlets
106,The Old Fire Station Restaurant,E14 3AN,5,2019-02-25 00:00:00.000000,Tower Hamlets
107,Shanghai,E13 9AU,5,2018-09-06 00:00:00.000000,Newham
108,Perfect Fried Chicken,E14 0EG,5,2019-01-10 00:00:00.000000,Tower Hamlets
109,BBQ Box,E13 0AJ,5,2017-10-25 00:00:00.000000,Newham
110,Beijing House,E13 8EB,5,2018-10-23 00:00:00.000000,Newham
111,Yummy Kitchen,E14 8LW,2,2018-03-27 00:00:00.000000,Tower Hamlets
112,Perfect Fried Chicken,E14 0EG,5,2019-01-10 00:00:00.000000,Tower Hamlets
113,Perfect Fried Chicken,E14 0EG,5,2019-01-10 00:00:00.000000,Tower Hamlets
114,Island Pot Caribbean,,3,2019-03-20 00:00:00.000000,Tower Hamlets
115,Madina Grill,E14 0EG,0,2019-02-11 00:00:00.000000,Tower Hamlets
116,Dessert Factory,E16 1ZB,5,2019-03-30 00:00:00.000000,Newham
117,Full House,E3 4JN,-1,2019-05-06 20:42:54.573804,
118,Barrys Fish Bar,E3 3PN,5,2019-03-05 00:00:00.000000,Tower Hamlets
119,Sake Sushi,E7 9PA,-1,2019-05-06 20:43:09.668411,
120,The Grill Factory,E1 0BH,2,2017-11-29 00:00:00.000000,Tower Hamlets
121,Diamond Pizza,E14 7DL,5,2019-01-09 00:00:00.000000,Tower Hamlets
122,Cafe White Rose,E13 8EB,5,2019-03-27 00:00:00.000000,Newham
123,00Seven Burger,E1W 3HS,1,2018-05-24 00:00:00.000000,Tower Hamlets
124,Tiffin,E1 2LX,5,2017-10-13 00:00:00.000000,Tower Hamlets
125,Balti House,E1 6QL,4,2017-07-12 00:00:00.000000,Tower Hamlets
126,Madina Grill,E14 0EG,0,2019-02-11 00:00:00.000000,Tower Hamlets
