Ticker,Name
CVX,Chevron
MSFT,Microsoft
DOW,Dow
PFE,Pfizer
AAPL,Apple
NKE,NIKE
UTX,UnitedTechnologies
UNH,UnitedHealthGroupIncorporated
VZ,VerizonCommunications
AXP,AmericanExpress
MCD,McDonald's
PG,Procter&Gamble
V,Visa
JPM,JPMorganChase&Co
TRV,TravelersCompanies
INTC,Intel
MRK,Merck&Co
JNJ,Johnson&Johnson
GS,GoldmanSachsGroup
KO,Coca-Cola
WBA,WalgreensBootsAlliance
XOM,ExxonMobil
WMT,Walmart
IBM,InternationalBusinessMachines
DIS,WaltDisney
CSCO,CiscoSystems
HD,HomeDepot
CAT,Caterpillar
MMM,3M
BA,Boeing
